slide.id,rep,color,sample,ant.species,year,Season,site,webers,mandible,
13,2,blue,O14,Pheidole desertorum,2023,summer,Yucca,1.08,0.361,
13,3,orange,S25,Pheidole desertorum,2023,spring,Yucca,1.13,0.401,
13,4,pink,S14,Pheidole desertorum,2023,spring,Yucca,1.168,0.423,
13,5,gold,O10,Pheidole desertorum,2024,spring,Yucca,1.158,0.453,
13,6,silver,S19,Pheidole desertorum,2024,spring,Yucca,1.116,0.425,
13,9,orange,S9,Pogonomyrmex rugusus,2024,spring,Yucca,2.273,0.955,
12,1,red,O9,Solenopsis xyloni,2023,spring,Yucca,0.863,0.418,
12,2,blue,S10,Solenopsis xyloni,2023,spring,Yucca,1.194,0.517,
12,3,orange,S20,Solenopsis xyloni,2023,summer,Yucca,0.976,0.345,
12,4,pink,S9,Solenopsis xyloni,2023,summer,Yucca,0.851,0.336,
12,5,gold,O25,Solenopsis xyloni,2024,spring,Yucca,0.938,0.438,
12,6,silver,S19,Solenopsis xyloni,2024,spring,Yucca,0.876,0.423,
